iso_8601,seconds_in_day,HH,MM,SS,bucket
00:00:00,0,00,00,00,EARLY MORNING
00:00:01,1,00,00,01,EARLY MORNING
00:00:02,2,00,00,02,EARLY MORNING
00:00:03,3,00,00,03,EARLY MORNING
00:00:04,4,00,00,04,EARLY MORNING
00:00:05,5,00,00,05,EARLY MORNING
00:00:06,6,00,00,06,EARLY MORNING
00:00:07,7,00,00,07,EARLY MORNING
00:00:08,8,00,00,08,EARLY MORNING
00:00:09,9,00,00,09,EARLY MORNING
00:00:10,10,00,00,10,EARLY MORNING
00:00:11,11,00,00,11,EARLY MORNING
00:00:12,12,00,00,12,EARLY MORNING
00:00:13,13,00,00,13,EARLY MORNING
00:00:14,14,00,00,14,EARLY MORNING
00:00:15,15,00,00,15,EARLY MORNING
00:00:16,16,00,00,16,EARLY MORNING
00:00:17,17,00,00,17,EARLY MORNING
00:00:18,18,00,00,18,EARLY MORNING
00:00:19,19,00,00,19,EARLY MORNING
00:00:20,20,00,00,20,EARLY MORNING
00:00:21,21,00,00,21,EARLY MORNING
00:00:22,22,00,00,22,EARLY MORNING
00:00:23,23,00,00,23,EARLY MORNING
00:00:24,24,00,00,24,EARLY MORNING
00:00:25,25,00,00,25,EARLY MORNING
00:00:26,26,00,00,26,EARLY MORNING
00:00:27,27,00,00,27,EARLY MORNING
00:00:28,28,00,00,28,EARLY MORNING
00:00:29,29,00,00,29,EARLY MORNING
00:00:30,30,00,00,30,EARLY MORNING
00:00:31,31,00,00,31,EARLY MORNING
00:00:32,32,00,00,32,EARLY MORNING
00:00:33,33,00,00,33,EARLY MORNING
00:00:34,34,00,00,34,EARLY MORNING
00:00:35,35,00,00,35,EARLY MORNING
00:00:36,36,00,00,36,EARLY MORNING
00:00:37,37,00,00,37,EARLY MORNING
00:00:38,38,00,00,38,EARLY MORNING
00:00:39,39,00,00,39,EARLY MORNING
00:00:40,40,00,00,40,EARLY MORNING
00:00:41,41,00,00,41,EARLY MORNING
00:00:42,42,00,00,42,EARLY MORNING
00:00:43,43,00,00,43,EARLY MORNING
00:00:44,44,00,00,44,EARLY MORNING
00:00:45,45,00,00,45,EARLY MORNING
00:00:46,46,00,00,46,EARLY MORNING
00:00:47,47,00,00,47,EARLY MORNING
